;list_name;amazon_product_url;author;book_review_link;contributor;contributor_note;created_date;description;primary_isbn10;primary_isbn13;book_uri;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
4;Trade Fiction Paperback;https://www.amazon.com/dp/1982131896?tag=NYTBSREV-20;Kristin Harmel;;by Kristin Harmel;;2021-06-02 22:14:26;A woman who helped Jewish children flee the Nazis during World War II now might be the only one who can unlock a code found in a religious text.;198213190X;9781982131906;nyt://book/a248fac1-10ed-513f-bc5a-c3f38c137881;Gallery;5;0;;THE BOOK OF LOST NAMES;2021-06-02 22:19:28;1
0;Paperback Nonfiction;http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20;Bessel van der Kolk;https://www.nytimes.com/2018/10/18/books/review/how-to-rewire-your-traumatized-brain.html;by Bessel van der Kolk;;2021-06-02 22:14:28;How trauma affects the body and mind, and innovative treatments for recovery.;0143127748;9780143127741;nyt://book/e3e33e9d-0e67-5fec-b0d2-2ecddc38ce0e;Penguin;1;1;;THE BODY KEEPS THE SCORE;2021-06-02 22:19:29;136
1;Paperback Nonfiction;https://www.amazon.com/Born-Crime-Stories-African-Childhood-ebook/dp/B01DHWACVY?tag=NYTBSREV-20;Trevor Noah;;by Trevor Noah;;2021-06-02 22:14:28;A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”;0399588191;9780399588198;nyt://book/c82bc1ff-7305-5acf-b948-a4163f03e2bc;One World;2;4;;BORN A CRIME;2021-06-02 22:19:29;120
2;Paperback Nonfiction;https://www.amazon.com/Braiding-Sweetgrass-Indigenous-Scientific-Knowledge/dp/1571313567?tag=NYTBSREV-20;Robin Wall Kimmerer;;by Robin Wall Kimmerer;;2021-06-02 22:14:28;A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.;1571313567;9781571313560;nyt://book/194ea111-42ad-5795-9fb5-3e155ffa5e79;Milkweed Editions;3;10;;BRAIDING SWEETGRASS;2021-06-02 22:19:30;59
3;Paperback Nonfiction;https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20;David Grann;https://www.nytimes.com/2017/04/28/books/review/killers-of-the-flower-moon-david-grann.html;by David Grann;;2021-06-02 22:14:28;The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.;0307742482;9780307742483;nyt://book/c5c1cd05-cdbc-5e7a-8255-1923ab4b1ceb;Vintage;4;6;;KILLERS OF THE FLOWER MOON;2021-06-02 22:19:30;81
4;Paperback Nonfiction;https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20;Michelle Obama;https://www.nytimes.com/2018/12/06/books/review/michelle-obama-becoming-memoir.html;by Michelle Obama;;2021-06-02 22:14:28;The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.;1524763144;9781524763145;nyt://book/8cf1d8dc-669e-5662-8c67-36cebeaf2aef;Crown;5;5;;BECOMING;2021-06-02 22:19:30;13
0;Advice, How-To & Miscellaneous;https://www.amazon.com/Boy-Mole-Fox-Horse/dp/0062976583?tag=NYTBSREV-20;Charlie Mackesy;;by Charlie Mackesy;;2021-06-02 22:14:27;;0062976583;9780062976581;nyt://book/858fb0b9-07d7-5b8a-b3de-cdcf6ea6fe7a;HarperOne;1;1;;THE BOY, THE MOLE, THE FOX AND THE HORSE;2021-06-02 22:19:29;78
1;Advice, How-To & Miscellaneous;https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299?tag=NYTBSREV-20;James Clear;;by James Clear;;2021-06-02 22:14:27;;0735211299;9780735211292;nyt://book/0398a355-c032-534e-a0af-647b06f0840d;Avery;2;2;;ATOMIC HABITS;2021-06-02 22:19:29;79
2;Advice, How-To & Miscellaneous;https://www.amazon.com/dp/0063046598?tag=NYTBSREV-20;Shannon Bream;;by Shannon Bream;;2021-06-02 22:14:27;;0063046598;9780063046597;nyt://book/b7acc994-a569-5167-9c59-05cf8252eb6d;Broadside;3;4;;THE WOMEN OF THE BIBLE SPEAK;2021-06-02 22:19:29;9
3;Advice, How-To & Miscellaneous;https://www.amazon.com/dp/0806540664?tag=NYTBSREV-20;Jen Gunter;;by Jen Gunter;;2021-06-02 22:14:27;;0806540664;9780806540665;nyt://book/cae5ccfa-d0f2-5eb6-bfca-9975900cba03;Citadel;4;0;;THE MENOPAUSE MANIFESTO;2021-06-02 22:19:29;1
4;Advice, How-To & Miscellaneous;https://www.amazon.com/dp/0062802798?tag=NYTBSREV-20;Anthony Bourdain and Laurie Woolever;;by Anthony Bourdain and Laurie Woolever;;2021-06-02 22:14:27;;0062802798;9780062802798;nyt://book/8324ba19-49d1-5aef-b9b1-b159aeaacedb;Ecco;5;5;;WORLD TRAVEL;2021-06-02 22:19:29;6
0;Children’s Middle Grade Hardcover;https://www.amazon.com/dp/0316167584?tag=NYTBSREV-20;Jason Reynolds, Ibram X. Kendi and Sonja Cherry-Paul;;by Jason Reynolds, Ibram X. Kendi and Sonja Cherry-Paul;;2021-06-02 22:14:25;"An adaptation of ""Stamped"" for younger readers.";0316167584;9780316167581;nyt://book/a8518832-cc21-5548-9254-b17d71d9914b;Little, Brown;1;1;;STAMPED (FOR KIDS);2021-06-02 22:19:26;3
1;Children’s Middle Grade Hardcover;http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20;R.J. Palacio;;by R.J. Palacio;;2021-06-02 22:14:25;A boy with a facial deformity starts school.;0375869026;9780375869020;nyt://book/ae6bd2cf-a5d7-535a-99dd-ca8e283c2b01;Knopf;2;2;https://www.nytimes.com/2012/04/08/books/review/wonder-by-r-j-palacio.html;WONDER;2021-06-02 22:19:26;298
2;Children’s Middle Grade Hardcover;https://www.amazon.com/dp/1338732870?tag=NYTBSREV-20;J.K. Rowling;;by J.K. Rowling;;2021-06-02 22:14:25;A fearsome monster threatens the kingdom of Cornucopia.;1338732870;9781338732870;nyt://book/9c1873f5-0249-5f05-9a48-ae5745cfe4ac;Scholastic;3;4;;THE ICKABOG;2021-06-02 22:19:26;29
3;Children’s Middle Grade Hardcover;https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=NYTBSREV-20;Alan Gratz;;by Alan Gratz;;2021-06-02 22:14:25;Three children in three different conflicts look for safe haven.;0545880831;9780545880831;nyt://book/32519cc3-8ee6-5bc8-9a1a-563502a5d2ad;Scholastic;4;5;;REFUGEE;2021-06-02 22:19:26;132
4;Children’s Middle Grade Hardcover;https://www.amazon.com/dp/0316500240?tag=NYTBSREV-20;James Patterson and Chris Grabenstein;;by James Patterson and Chris Grabenstein;;2021-06-02 22:14:25;As a ghost, Finn attempts to solve his own murder.;0316500240;9780316500241;nyt://book/47d77a4f-53cc-5bc8-b88b-1dd74feec728;jimmy patterson;5;6;;BEST NERDS FOREVER;2021-06-02 22:19:26;3
0;Children’s Picture Books;http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20;Amy Krouse Rosenthal.;;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;Illustrated by Tom Lichtenheld;2021-06-02 22:14:28;A bounty of good wishes.;1452126992;9781452126999;nyt://book/8ebc86f7-f391-5225-bf8c-23b4556889f7;Chronicle;1;1;;I WISH YOU MORE;2021-06-02 22:19:30;66
1;Children’s Picture Books;https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20;Eric Carle;;by Eric Carle;;2021-06-02 22:14:29;The insatiable insect's pedagogue appreciation.;0593226186;9780593226186;nyt://book/74cda3b0-6976-56b8-974d-4757b8afc526;World of Eric Carle;2;2;;THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR;2021-06-02 22:19:30;3
2;Children’s Picture Books;http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20;Emily Winfield Martin;;by Emily Winfield Martin;;2021-06-02 22:14:29;A celebration of future possibilities.;0385376715;9780385376716;nyt://book/36cac861-60d3-511f-ba6d-edc88c6e938e;Random House;3;3;;THE WONDERFUL THINGS YOU WILL BE;2021-06-02 22:19:30;264
3;Children’s Picture Books;https://www.amazon.com/dp/1250269490?tag=NYTBSREV-20;Cleo Wade.;;by Cleo Wade. Illustrated by Lucie de Moyencourt;Illustrated by Lucie de Moyencourt;2021-06-02 22:14:29;A road answers a child's many questions about life.;1250269490;9781250269492;nyt://book/69ec9b93-ca14-5936-a57c-3d3985d67dee;Feiwel & Friends;4;6;;WHAT THE ROAD SAID;2021-06-02 22:19:30;7
4;Children’s Picture Books;https://www.amazon.com/dp/1250203554?tag=NYTBSREV-20;Carole Lindstrom.;;by Carole Lindstrom. Illustrated by Michaela Goade;Illustrated by Michaela Goade;2021-06-02 22:14:29;Standing up for environmental justice.;1250203554;9781250203557;nyt://book/8217ee63-d106-520b-af8c-901b68950754;Roaring Brook;5;10;;WE ARE WATER PROTECTORS;2021-06-02 22:19:30;17
0;Children’s Series;https://www.amazon.com/dp/1250027438?tag=NYTBSREV-20;Leigh Bardugo;;by Leigh Bardugo;;2021-06-02 22:14:24;"The basis of the Netflix series; previously titled ""The Grisha Trilogy.""";1250027438;9781250027436;nyt://book/291a6b92-1540-50e1-aa00-62e354c69a84;Square Fish;1;1;;SHADOW AND BONE TRILOGY;2021-06-02 22:19:26;12
1;Children’s Series;http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=NYTBSREV-20;and   Jeff Kinney;;written and illustrated by Jeff Kinney;written and illustrated by Jeff Kinney;2021-06-02 22:14:24;The travails and challenges of adolescence.;1419748688;9781419748684;nyt://book/d4b80cdc-60b4-5918-8fa5-33ee2c93cca1;Amulet;2;2;;DIARY OF A WIMPY KID;2021-06-02 22:19:26;637
2;Children’s Series;https://www.amazon.com/dp/1419756974?tag=NYTBSREV-20;and   Jeff Kinney;;written and illustrated by Jeff Kinney;written and illustrated by Jeff Kinney;2021-06-02 22:14:24;Rowley Jefferson chronicles his life story and adventures.;1419756974;9781419756979;nyt://book/4dc6dc6c-af50-5c14-b535-4da6331f6d27;Amulet;3;3;;AWESOME FRIENDLY KID;2021-06-02 22:19:26;11
3;Children’s Series;http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=NYTBSREV-20;J.K. Rowling;;by J.K. Rowling;;2021-06-02 22:14:24;A wizard hones his conjuring skills in the service of fighting evil.;059035342X;9780590353427;nyt://book/17005581-f735-545e-acaf-79dcfdd25a1f;Scholastic;4;4;;HARRY POTTER;2021-06-02 22:19:26;636
4;Children’s Series;http://www.amazon.com/What-Were-Twin-Towers-Was/dp/0448487853?tag=NYTBSREV-20;various authors;;by various authors;;2021-06-02 22:14:24;Exploring milestones and events in American culture and history.;0515157260;9780515157260;nyt://book/1039faef-8ff9-54e5-89da-dde2c31bfd82;Penguin Workshop;5;0;;WHAT WAS . . . ?;2021-06-02 22:19:26;17
0;Young Adult Hardcover;https://www.amazon.com/dp/0316453692?tag=NYTBSREV-20;Jason Reynolds and Ibram X. Kendi;;by Jason Reynolds and Ibram X. Kendi;;2021-06-02 22:14:25;An exploration of racism and antiracism in America.;0316453692;9780316453691;nyt://book/78bdb837-f612-5b9b-8a4c-31b2ca047b3b;Little, Brown;1;3;;STAMPED;2021-06-02 22:19:27;62
1;Young Adult Hardcover;https://www.amazon.com/One-Us-Lying-Karen-McManus/dp/1524714682?tag=NYTBSREV-20;Karen M. McManus;;by Karen M. McManus;;2021-06-02 22:14:25;For five students, a detour into detention ends in murder.;1524714682;9781524714680;nyt://book/68977997-3f85-5971-aca2-e80f543b2814;Delacorte;2;4;;ONE OF US IS LYING;2021-06-02 22:19:27;174
2;Young Adult Hardcover;https://www.amazon.com/dp/0062872621?tag=NYTBSREV-20;Victoria Aveyard;;by Victoria Aveyard;;2021-06-02 22:14:25;A small band of misfits attempt to save Allward.;0062872621;9780062872623;nyt://book/e227804e-7a49-5ca7-abf2-87f3abc2ebe6;HarperTeen;3;1;;REALM BREAKER;2021-06-02 22:19:27;4
3;Young Adult Hardcover;https://www.amazon.com/dp/1338188364?tag=NYTBSREV-20;Maggie Stiefvater;;by Maggie Stiefvater;;2021-06-02 22:14:25;Ronan, Hennessy and Bryde try to make dreamers more powerful.;1338188364;9781338188363;nyt://book/0ca2210c-dad4-5178-a2a2-9757896d8fac;Scholastic;4;2;;MISTER IMPOSSIBLE;2021-06-02 22:19:27;2
4;Young Adult Hardcover;https://www.amazon.com/dp/125014230X?tag=NYTBSREV-20;Leigh Bardugo;;by Leigh Bardugo;;2021-06-02 22:14:25;The second book in the King of Scars duology.;125014230X;9781250142306;nyt://book/9ac909b2-f765-5451-88a3-db5ea93b5651;Imprint;5;5;;RULE OF WOLVES;2021-06-02 22:19:27;9
